"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 18, 2022","1.720","1.795","1.820","1.690","3.70M","-3.91%"
"Feb 17, 2022","1.790","1.918","1.970","1.780","4.73M","-8.21%"
"Feb 16, 2022","1.950","1.950","2.010","1.885","5.04M","-1.02%"
"Feb 15, 2022","1.970","1.830","1.980","1.820","5.04M","10.06%"
"Feb 14, 2022","1.790","1.790","1.850","1.732","4.53M","0.56%"
"Feb 11, 2022","1.780","1.870","1.950","1.740","4.46M","-4.30%"
"Feb 10, 2022","1.860","1.806","2.030","1.780","6.36M","-1.06%"
"Feb 09, 2022","1.880","1.660","1.885","1.660","7.00M","14.63%"
"Feb 08, 2022","1.640","1.690","1.690","1.583","3.13M","-0.61%"
"Feb 07, 2022","1.650","1.690","1.770","1.640","3.40M","-2.37%"
"Feb 04, 2022","1.690","1.650","1.710","1.580","3.45M","4.32%"
"Feb 03, 2022","1.620","1.685","1.730","1.600","3.83M","-6.90%"
"Feb 02, 2022","1.740","1.970","1.970","1.700","6.18M","-6.95%"
"Feb 01, 2022","1.870","1.700","1.910","1.685","6.96M","11.98%"
"Jan 31, 2022","1.670","1.490","1.730","1.470","5.78M","12.08%"
"Jan 28, 2022","1.490","1.455","1.490","1.380","4.58M","2.76%"
"Jan 27, 2022","1.450","1.610","1.630","1.420","7.53M","-8.23%"
"Jan 26, 2022","1.580","1.730","1.750","1.570","7.36M","-5.39%"
"Jan 25, 2022","1.670","1.690","1.740","1.650","4.29M","-7.22%"
"Jan 24, 2022","1.800","1.620","1.815","1.550","9.52M","4.05%"
"Jan 21, 2022","1.730","1.890","1.900","1.720","9.64M","-8.47%"
"Jan 20, 2022","1.890","2.070","2.110","1.890","7.11M","-6.90%"
"Jan 19, 2022","2.030","2.087","2.130","2.015","4.99M","-0.98%"
"Jan 18, 2022","2.050","2.130","2.190","2.040","4.90M","-4.21%"
"Jan 14, 2022","2.140","2.140","2.170","2.040","5.53M","0.47%"
"Jan 13, 2022","2.130","2.280","2.330","2.130","4.21M","-6.58%"
"Jan 12, 2022","2.280","2.340","2.369","2.245","2.76M","-0.87%"
