Date,Open,High,Low,Close,Adj Close,Volume
2021-06-29,8.230000,8.490000,6.950000,7.030000,7.030000,21315200
2021-06-30,6.840000,7.960000,6.310000,7.490000,7.490000,28114200
2021-07-01,7.340000,7.760000,7.050000,7.290000,7.290000,10563400
2021-07-02,7.270000,7.300000,6.730000,6.740000,6.740000,9360600
2021-07-06,6.960000,8.000000,6.580000,7.190000,7.190000,20535700
2021-07-07,6.930000,7.080000,5.790000,5.800000,5.800000,17078300
2021-07-08,5.420000,6.250000,5.330000,5.750000,5.750000,14333600
2021-07-09,5.640000,5.640000,4.720000,4.750000,4.750000,26866900
2021-07-12,4.870000,4.870000,3.880000,3.940000,3.940000,41632500
2021-07-13,4.000000,4.200000,3.510000,3.990000,3.990000,49757400
2021-07-14,3.950000,4.700000,3.630000,4.270000,4.270000,39848000
2021-07-15,4.250000,4.440000,3.730000,3.790000,3.790000,20744700
2021-07-16,3.790000,3.900000,3.600000,3.630000,3.630000,12749000
2021-07-19,3.430000,3.580000,3.310000,3.500000,3.500000,13245600
2021-07-20,3.440000,3.480000,3.090000,3.190000,3.190000,21909500
2021-07-21,3.190000,4.240000,3.180000,3.830000,3.830000,62837200
2021-07-22,3.790000,3.830000,3.400000,3.430000,3.430000,19535400
2021-07-23,3.570000,3.610000,3.350000,3.490000,3.490000,13226400
2021-07-26,3.440000,3.740000,3.390000,3.440000,3.440000,14190500
2021-07-27,3.450000,3.500000,3.230000,3.270000,3.270000,8910800
2021-07-28,3.300000,3.600000,3.260000,3.560000,3.560000,11602100
2021-07-29,3.600000,3.730000,3.440000,3.540000,3.540000,9973700
2021-07-30,3.480000,3.610000,3.400000,3.500000,3.500000,7076400
2021-08-02,3.500000,3.610000,3.330000,3.360000,3.360000,12103500
2021-08-03,3.400000,3.400000,3.200000,3.270000,3.270000,8428500
2021-08-04,3.250000,3.280000,3.040000,3.100000,3.100000,12097900
2021-08-05,3.470000,3.580000,3.110000,3.150000,3.150000,27547500
2021-08-06,3.220000,3.310000,3.080000,3.300000,3.300000,10535100
2021-08-09,3.350000,3.750000,3.240000,3.550000,3.550000,18036800
2021-08-10,3.600000,3.750000,3.460000,3.580000,3.580000,11314100
2021-08-11,3.560000,3.650000,3.340000,3.640000,3.640000,9738900
2021-08-12,3.570000,3.580000,3.330000,3.370000,3.370000,12516400
2021-08-13,3.380000,3.510000,3.160000,3.190000,3.190000,12089400
2021-08-16,3.160000,3.200000,2.990000,3.050000,3.050000,10172100
2021-08-17,2.980000,3.090000,2.840000,2.910000,2.910000,12993700
2021-08-18,2.940000,3.160000,2.800000,3.010000,3.010000,10853000
2021-08-19,2.950000,3.080000,2.920000,2.950000,2.950000,7674900
2021-08-20,2.940000,2.970000,2.860000,2.880000,2.880000,7129700
2021-08-23,2.890000,3.440000,2.880000,3.350000,3.350000,18732700
2021-08-24,3.350000,3.640000,3.330000,3.570000,3.570000,14578500
2021-08-25,3.570000,3.840000,3.500000,3.720000,3.720000,12036800
2021-08-26,3.650000,3.750000,3.420000,3.460000,3.460000,8990800
2021-08-27,3.460000,4.550000,3.450000,4.130000,4.130000,39642200
2021-08-30,4.940000,5.790000,4.270000,4.420000,4.420000,83350800
2021-08-31,4.360000,4.700000,4.030000,4.650000,4.650000,25428200
2021-09-01,4.610000,4.700000,4.420000,4.630000,4.630000,14568500
2021-09-02,4.780000,5.400000,4.770000,5.370000,5.370000,43223700
2021-09-03,5.700000,6.420000,5.190000,5.500000,5.500000,85207900
2021-09-07,5.610000,5.710000,5.120000,5.460000,5.460000,27171300
2021-09-08,5.320000,5.430000,4.880000,5.110000,5.110000,17644700
2021-09-09,4.980000,5.380000,4.890000,5.340000,5.340000,14676500
2021-09-10,5.410000,5.630000,5.080000,5.230000,5.230000,15467000
2021-09-13,5.270000,5.440000,5.060000,5.340000,5.340000,11491400
2021-09-14,5.290000,5.770000,5.110000,5.140000,5.140000,21920600
2021-09-15,5.200000,5.210000,4.850000,4.950000,4.950000,14567800
2021-09-16,4.850000,5.250000,4.790000,5.110000,5.110000,12460700
2021-09-17,5.040000,5.250000,4.930000,5.180000,5.180000,35685200
2021-09-20,4.930000,5.100000,4.760000,4.940000,4.940000,12216200
2021-09-21,4.980000,5.040000,4.850000,4.870000,4.870000,7170500
2021-09-22,4.920000,5.200000,4.840000,5.130000,5.130000,10082500
2021-09-23,5.180000,5.430000,5.050000,5.290000,5.290000,11685100
2021-09-24,5.210000,5.290000,5.060000,5.160000,5.160000,7483800
2021-09-27,5.240000,6.280000,5.240000,6.080000,6.080000,39031400
2021-09-28,5.910000,6.530000,5.730000,6.210000,6.210000,36349700
2021-09-29,6.220000,6.550000,5.680000,5.720000,5.720000,25865200
2021-09-30,5.720000,5.810000,5.480000,5.780000,5.780000,11216600
2021-10-01,5.870000,5.880000,5.350000,5.590000,5.590000,11870700
2021-10-04,5.520000,5.580000,5.040000,5.110000,5.110000,9046200
2021-10-05,5.140000,5.290000,5.020000,5.270000,5.270000,7713300
2021-10-06,5.090000,5.230000,4.950000,4.990000,4.990000,6934800
2021-10-07,5.040000,5.400000,4.940000,5.300000,5.300000,7567100
2021-10-08,5.270000,5.540000,5.190000,5.300000,5.300000,5903800
