Date,Open,High,Low,Close,Volume
6/29/21,8.23,8.49,6.95,7.03,21315200
6/30/21,6.84,7.96,6.31,7.49,28114200
7/1/21,7.34,7.76,7.05,7.29,10563400
7/2/21,7.27,7.3,6.73,6.74,9360600
7/6/21,6.96,8,6.58,7.19,20535700
7/7/21,6.93,7.08,5.79,5.8,17078300
7/8/21,5.42,6.25,5.33,5.75,14333600
7/9/21,5.64,5.64,4.72,4.75,26866900
7/12/21,4.87,4.87,3.88,3.94,41632500
7/13/21,4,4.2,3.51,3.99,49757400
7/14/21,3.95,4.7,3.63,4.27,39848000
7/15/21,4.25,4.44,3.73,3.79,20744700
7/16/21,3.79,3.9,3.6,3.63,12749000
7/19/21,3.43,3.58,3.31,3.5,13245600
7/20/21,3.44,3.48,3.09,3.19,21909500
7/21/21,3.19,4.24,3.18,3.83,62837200
7/22/21,3.79,3.83,3.4,3.43,19535400
7/23/21,3.57,3.61,3.35,3.49,13226400
7/26/21,3.44,3.74,3.39,3.44,14190500
7/27/21,3.45,3.5,3.23,3.27,8910800
7/28/21,3.3,3.6,3.26,3.56,11602100
7/29/21,3.6,3.73,3.44,3.54,9973700
7/30/21,3.48,3.61,3.4,3.5,7076400
8/2/21,3.5,3.61,3.33,3.36,12103500
8/3/21,3.4,3.4,3.2,3.27,8428500
8/4/21,3.25,3.28,3.04,3.1,12097900
8/5/21,3.47,3.58,3.11,3.15,27547500
8/6/21,3.22,3.31,3.08,3.3,10535100
8/9/21,3.35,3.75,3.24,3.55,18036800
8/10/21,3.6,3.75,3.46,3.58,11314100
8/11/21,3.56,3.65,3.34,3.64,9738900
8/12/21,3.57,3.58,3.33,3.37,12516400
8/13/21,3.38,3.51,3.16,3.19,12089400
8/16/21,3.16,3.2,2.99,3.05,10172100
8/17/21,2.98,3.09,2.84,2.91,12993700
8/18/21,2.94,3.16,2.8,3.01,10853000
8/19/21,2.95,3.08,2.92,2.95,7674900
8/20/21,2.94,2.97,2.86,2.88,7129700
8/23/21,2.89,3.44,2.88,3.35,18732700
8/24/21,3.35,3.64,3.33,3.57,14578500
8/25/21,3.57,3.84,3.5,3.72,12036800
8/26/21,3.65,3.75,3.42,3.46,8990800
8/27/21,3.46,4.55,3.45,4.13,39642200
8/30/21,4.94,5.79,4.27,4.42,83350800
8/31/21,4.36,4.7,4.03,4.65,25428200
9/1/21,4.61,4.7,4.42,4.63,14568500
9/2/21,4.78,5.4,4.77,5.37,43223700
9/3/21,5.7,6.42,5.19,5.5,85207900
9/7/21,5.61,5.71,5.12,5.46,27171300
9/8/21,5.32,5.43,4.88,5.11,17644700
9/9/21,4.98,5.38,4.89,5.34,14676500
9/10/21,5.41,5.63,5.08,5.23,15467000
9/13/21,5.27,5.44,5.06,5.34,11491400
9/14/21,5.29,5.77,5.11,5.14,21920600
9/15/21,5.2,5.21,4.85,4.95,14567800
9/16/21,4.85,5.25,4.79,5.11,12460700
9/17/21,5.04,5.25,4.93,5.18,35685200
9/20/21,4.93,5.1,4.76,4.94,12216200
9/21/21,4.98,5.04,4.85,4.87,7170500
9/22/21,4.92,5.2,4.84,5.13,10082500
